Day,peste: (Madagascar)
01/08/2017,0
02/08/2017,0
03/08/2017,0
04/08/2017,0
05/08/2017,0
06/08/2017,0
07/08/2017,0
08/08/2017,0
09/08/2017,0
10/08/2017,0
11/08/2017,0
12/08/2017,0
13/08/2017,0
14/08/2017,0
15/08/2017,0
16/08/2017,0
17/08/2017,0
18/08/2017,0
19/08/2017,0
20/08/2017,0
21/08/2017,0
22/08/2017,0
23/08/2017,0
24/08/2017,0
25/08/2017,0
26/08/2017,0
27/08/2017,0
28/08/2017,0
29/08/2017,0
30/08/2017,0
31/08/2017,0
01/09/2017,0
02/09/2017,0
03/09/2017,0
04/09/2017,0
05/09/2017,0
06/09/2017,0
07/09/2017,0
08/09/2017,0
09/09/2017,0
10/09/2017,0
11/09/2017,0
12/09/2017,7
13/09/2017,37
14/09/2017,17
15/09/2017,9
16/09/2017,0
17/09/2017,0
18/09/2017,3
19/09/2017,0
20/09/2017,0
21/09/2017,0
22/09/2017,0
23/09/2017,0
24/09/2017,0
25/09/2017,0
26/09/2017,0
27/09/2017,0
28/09/2017,0
29/09/2017,4
30/09/2017,8
01/10/2017,27
02/10/2017,100
03/10/2017,55
04/10/2017,35
05/10/2017,33
06/10/2017,33
07/10/2017,31
08/10/2017,19
09/10/2017,26
10/10/2017,24
11/10/2017,19
12/10/2017,21
13/10/2017,27
14/10/2017,21
15/10/2017,19
16/10/2017,18
17/10/2017,18
18/10/2017,14
19/10/2017,13
20/10/2017,12
21/10/2017,10
22/10/2017,13
23/10/2017,14
24/10/2017,12
25/10/2017,10
26/10/2017,9
27/10/2017,9
28/10/2017,6
29/10/2017,7
30/10/2017,6
31/10/2017,4
01/11/2017,4
02/11/2017,5
03/11/2017,8
04/11/2017,5
05/11/2017,0
06/11/2017,5
07/11/2017,4
08/11/2017,0
09/11/2017,7
10/11/2017,4
11/11/2017,0
12/11/2017,0
13/11/2017,0
14/11/2017,0
15/11/2017,0
16/11/2017,0
17/11/2017,0
18/11/2017,0
19/11/2017,0
20/11/2017,0
